Quarter,CPI
1990-03-01,43.51357116837982
1990-06-01,43.993571168379816
1990-09-01,44.59357116837982
1990-12-01,46.633571168379824
1991-03-01,48.673571168379816
1991-06-01,49.633571168379824
1991-09-01,50.953571168379824
1991-12-01,53.59357116837982
1992-03-01,57.073571168379814
1992-06-01,53.71357116837982
1992-09-01,53.59357116837982
1992-12-01,54.19357116837982
1993-03-01,56.11357116837982
1993-06-01,56.35357116837982
1993-09-01,56.35357116837982
1993-12-01,56.47357116837982
1994-03-01,58.51357116837982
1994-06-01,58.993571168379816
1994-09-01,59.953571168379824
1994-12-01,60.073571168379814
1995-03-01,61.633571168379824
1995-06-01,62.59357116837982
1995-09-01,62.83357116837982
1995-12-01,63.79357116837982
1996-03-01,65.23357116837983
1996-06-01,65.35357116837983
1996-09-01,65.95357116837982
1996-12-01,66.91357116837983
1997-03-01,69.31357116837982
1997-06-01,71.23357116837983
1997-09-01,67.87357116837983
1997-12-01,70.51357116837983
1998-03-01,71.59357116837982
1998-06-01,73.39357116837982
1998-09-01,73.87357116837983
1998-12-01,73.39357116837982
1999-03-01,66.19357116837982
1999-06-01,66.43357116837983
1999-09-01,67.15357116837983
1999-12-01,67.03357116837982
2000-03-01,68.59357116837982
2000-06-01,69.07357116837983
2000-09-01,69.43357116837983
2000-12-01,69.31357116837982
2001-03-01,71.23357116837983
2001-06-01,71.35357116837983
2001-09-01,71.35357116837983
2001-12-01,71.11357116837982
2002-03-01,73.27357116837982
2002-06-01,75.31357116837982
2002-09-01,75.55357116837983
2002-12-01,75.79357116837983
2003-03-01,78.55357116837983
2003-06-01,81.07357116837983
2003-09-01,81.07357116837983
2003-12-01,81.19357116837983
2004-03-01,83.83357116837982
2004-06-01,86.35357116837983
2004-09-01,85.75357116837984
2004-12-01,85.15357116837983
2005-03-01,88.63357116837982
2005-06-01,90.67357116837982
2005-09-01,89.71357116837983
2005-12-01,88.75357116837984
2006-03-01,92.71357116837983
2006-06-01,94.87357116837983
2006-09-01,94.15357116837983
2006-12-01,93.43357116837981
2007-03-01,96.79357116837983
2007-06-01,98.83357116837982
2007-09-01,98.23357116837983
2007-12-01,97.27357116837982
2008-03-01,101.11357116837982
2008-06-01,103.63357116837982
2008-09-01,103.39357116837984
2008-12-01,102.07357116837983
2009-03-01,106.51357116837983
2009-06-01,108.91357116837983
2009-09-01,107.83357116837982
2009-12-01,106.87357116837983
2010-03-01,111.91357116837983
2010-06-01,114.43357116837981
2010-09-01,113.59357116837984
2010-12-01,112.15357116837983
2011-03-01,116.59357116837982
2011-06-01,118.99357116837983
2011-09-01,117.79357116837983
2011-12-01,116.23357116837981
2012-03-01,121.51357116837983
2012-06-01,123.31357116837982
2012-09-01,126.31357116837982
2012-12-01,125.23357116837981
2013-03-01,128.95357116837982
2013-06-01,131.4735711683798
2013-09-01,131.4735711683798
2013-12-01,130.7535711683798
2014-03-01,134.11357116837982
2014-06-01,137.95357116837982
2014-09-01,137.71357116837981
2014-12-01,136.5135711683798
2015-03-01,139.99357116837982
2015-06-01,143.8335711683798
2015-09-01,144.3135711683798
2015-12-01,143.71357116837981
2016-03-01,146.4735711683798
2016-06-01,150.3135711683798
2016-09-01,149.95357116837982
2016-12-01,148.99357116837982
2017-03-01,151.99357116837982
2017-06-01,156.07357116837983
2017-09-01,155.8335711683798
2017-12-01,154.99357116837982
2018-03-01,158.3535711683798
2018-06-01,161.3535711683798
2018-09-01,160.7535711683798
2018-12-01,160.15357116837978
2019-03-01,163.27357116837982
2019-06-01,166.15357116837978
2019-09-01,165.79357116837983
2019-12-01,165.3135711683798
2020-03-01,168.07357116837983
2020-06-01,167.71357116837981
2020-09-01,167.47357116837983
2020-12-01,169.6335711683798
